tag_id,trackId,individual_id,local_identifier,nick_name,event_id,timestamp,location_long,location_lat,bird_id,datetime,date,sunrise,sunset,dawn_civil,dusk_civil,dawn_astro,dusk_astro,day_night,day_crepuscule_civil_night,day_crepuscule_astro_night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634337,2021-04-27 23:42:32,-147.9421251,-15.1096996,C01,2021-04-27T23:42:32Z,2021-04-27,2021-04-27T16:01:17.005324Z,2021-04-28T03:37:10.583677Z,2021-04-27T15:39:15.199567Z,2021-04-28T03:59:13.279054Z,2021-04-27T14:48:30.246469Z,2021-04-28T04:49:59.980592Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18616710663,2021-04-28 09:35:00,-147.9411397,-15.1139295,C01,2021-04-28T09:35:00Z,2021-04-28,2021-04-28T16:01:29.724217Z,2021-04-29T03:36:40.348452Z,2021-04-28T15:39:26.046260Z,2021-04-29T03:58:44.926920Z,2021-04-28T14:48:37.408507Z,2021-04-29T04:49:35.341544Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634338,2021-04-28 09:35:40,-147.9411472,-15.1139314,C01,2021-04-28T09:35:40Z,2021-04-28,2021-04-28T16:01:29.726141Z,2021-04-29T03:36:40.350127Z,2021-04-28T15:39:26.048172Z,2021-04-29T03:58:44.928606Z,2021-04-28T14:48:37.410395Z,2021-04-29T04:49:35.343255Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18616710664,2021-04-28 09:36:00,-147.9411372,-15.1139268,C01,2021-04-28T09:36:00Z,2021-04-28,2021-04-28T16:01:29.723441Z,2021-04-29T03:36:40.348030Z,2021-04-28T15:39:26.045501Z,2021-04-29T03:58:44.926480Z,2021-04-28T14:48:37.407783Z,2021-04-29T04:49:35.341071Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18642879191,2021-04-28 22:00:00,-147.9427276,-15.1018703,C01,2021-04-28T22:00:00Z,2021-04-28,2021-04-28T16:01:29.321193Z,2021-04-29T03:36:41.521940Z,2021-04-28T15:39:25.718907Z,2021-04-29T03:58:46.024662Z,2021-04-28T14:48:37.233328Z,2021-04-29T04:49:36.287298Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634339,2021-04-28 22:01:02,-147.9427464,-15.10187,C01,2021-04-28T22:01:02Z,2021-04-28,2021-04-28T16:01:29.325686Z,2021-04-29T03:36:41.526470Z,2021-04-28T15:39:25.723402Z,2021-04-29T03:58:46.029191Z,2021-04-28T14:48:37.237827Z,2021-04-29T04:49:36.291823Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18642879192,2021-04-29 22:01:00,-147.9031167,-15.009259,C01,2021-04-29T22:01:00Z,2021-04-29,2021-04-29T16:01:26.626070Z,2021-04-30T03:36:09.267781Z,2021-04-29T15:39:21.735154Z,2021-04-30T03:58:15.068429Z,2021-04-29T14:48:30.718517Z,2021-04-30T04:49:07.889744Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634340,2021-04-29 22:01:18,-147.9031223,-15.0092812,C01,2021-04-29T22:01:18Z,2021-04-29,2021-04-29T16:01:26.628890Z,2021-04-30T03:36:09.267634Z,2021-04-29T15:39:21.737835Z,2021-04-30T03:58:15.068421Z,2021-04-29T14:48:30.720921Z,2021-04-30T04:49:07.890013Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18642879193,2021-04-30 22:00:00,-147.9422555,-15.113715,C01,2021-04-30T22:00:00Z,2021-04-30,2021-04-30T16:01:56.258398Z,2021-05-01T03:35:43.403737Z,2021-04-30T15:39:48.820726Z,2021-05-01T03:57:51.760668Z,2021-04-30T14:48:52.743263Z,2021-05-01T04:48:49.665192Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634341,2021-04-30 22:01:02,-147.9422816,-15.1137211,C01,2021-04-30T22:01:02Z,2021-04-30,2021-04-30T16:01:56.265078Z,2021-05-01T03:35:43.409580Z,2021-04-30T15:39:48.827367Z,2021-05-01T03:57:51.766549Z,2021-04-30T14:48:52.749827Z,2021-05-01T04:48:49.671150Z,day,day,day
