bird_id;nb_data;first;last;duration_days;nb_day
C01;635;25/04/2021;29/10/2021;187;182
C03;139;25/04/2021;20/07/2021;86;79
C04;61;25/04/2021;25/05/2021;30;30
C05;47;25/04/2021;26/05/2021;31;25
C06;534;25/04/2021;28/10/2021;186;176
C07;591;25/04/2021;31/10/2021;189;184
C08;519;25/04/2021;01/11/2021;190;155
C11;187;25/04/2021;04/09/2021;132;112
C12;196;25/04/2021;22/08/2021;119;110
